email_length,password_length,password_special_chars,is_post,is_login_endpoint,user_agent_length,ip1,ip2,ip3,ip4,time_since_last,body_field_count,has_sql,has_script,hour,day,is_gmail,is_yahoo,is_outlook,dummy,label
11,5,0,1,1,117,127,0,0,1,0,2,0,0,0,5,1,0,0,0,benign
18,21,6,1,1,10,127,0,0,1,0,2,1,0,0,5,1,0,0,0,benign
18,21,6,1,1,10,127,0,0,1,0,2,1,0,0,5,1,0,0,0,benign
11,9,5,1,1,117,127,0,0,1,0,2,1,0,0,5,1,0,0,0,benign
11,9,5,1,1,117,127,0,0,1,0,2,1,0,0,5,1,0,0,0,attack
11,5,0,1,1,117,127,0,0,1,0,2,0,0,0,5,1,0,0,0,attack
18,21,6,1,1,10,127,0,0,1,0,2,1,0,0,5,1,0,0,0,attack
11,5,0,1,1,117,127,0,0,1,0,2,0,0,0,5,1,0,0,0,attack
11,5,0,1,1,117,127,0,0,1,0,2,0,0,0,5,1,0,0,0,benign
11,6,2,1,1,117,127,0,0,1,0,2,1,0,0,5,1,0,0,0,benign
11,6,2,1,1,117,127,0,0,1,0,2,1,0,1,5,1,0,0,0,attack
11,5,0,1,1,117,127,0,0,1,0,2,0,0,1,5,1,0,0,0,attack
11,5,0,1,1,117,127,0,0,1,0,2,0,0,1,5,1,0,0,0,attack
11,5,0,1,1,117,127,0,0,1,0,2,0,0,1,5,1,0,0,0,attack
11,5,0,1,1,117,127,0,0,1,0,2,0,0,1,5,1,0,0,0,benign
11,6,2,1,1,117,127,0,0,1,0,2,1,0,1,5,1,0,0,0,benign
11,28,8,1,1,117,127,0,0,1,0,2,0,0,1,5,1,0,0,0,benign
11,6,0,1,1,117,127,0,0,1,0,2,0,0,1,5,1,0,0,0,benign
11,6,0,1,1,117,127,0,0,1,0,2,0,0,1,5,1,0,0,0,attack
11,5,0,1,1,117,127,0,0,1,0,2,0,0,1,5,1,0,0,0,attack
11,5,0,1,1,117,127,0,0,1,0,2,0,0,1,5,1,0,0,0,attack
11,12,7,1,1,117,127,0,0,1,0,2,1,0,1,5,1,0,0,0,attack
11,5,0,1,1,117,127,0,0,1,0,2,0,0,20,5,1,0,0,0,attack
11,5,0,1,1,117,127,0,0,1,0,2,0,0,20,5,1,0,0,0,attack
11,14,9,1,1,117,127,0,0,1,0,2,0,0,20,5,1,0,0,0,attack
11,14,9,1,1,117,127,0,0,1,0,2,0,0,20,5,1,0,0,0,attack
11,25,7,1,1,117,127,0,0,1,0,2,0,1,20,5,1,0,0,0,attack
11,5,0,1,1,117,127,0,0,1,0,2,0,0,20,5,1,0,0,0,attack
11,5,0,1,1,117,127,0,0,1,0,2,0,0,20,5,1,0,0,0,attack
11,18,3,1,1,117,127,0,0,1,0,2,1,0,20,5,1,0,0,0,attack
